0;1;1;1;1
0.100000;1.005013;1.005000;1.000000;1.005013
0.200000;1.020201;1.020175;1.010000;1.020201
0.300000;1.046028;1.045986;1.030200;1.046028
0.400000;1.083287;1.083223;1.061106;1.083287
0.500000;1.133148;1.133051;1.103550;1.133148
0.600000;1.197217;1.197069;1.158728;1.197217
0.700000;1.277621;1.277392;1.228251;1.277621
0.800000;1.377128;1.376773;1.314229;1.377128
0.900000;1.499302;1.498755;1.419367;1.499303
1.000000;1.648721;1.647881;1.547110;1.648721
1.100000;1.831252;1.829972;1.701821;1.831252
1.200000;2.054432;2.052497;1.889022;2.054433
1.300000;2.327976;2.325068;2.115704;2.327978
1.400000;2.664454;2.660111;2.390746;2.664456
1.500000;3.080212;3.073758;2.725450;3.080217
1.600000;3.596632;3.587076;3.134268;3.596640
1.700000;4.241839;4.227727;3.635751;4.241852
1.800000;5.053069;5.032264;4.253829;5.053090
1.900000;6.079936;6.049284;5.019518;6.079971
2.000000;7.388998;7.343831;5.973226;7.389056
2.100000;9.070156;9.003537;7.167871;9.070252
2.200000;11.245705;11.147279;8.673124;11.245859
2.300000;14.083195;13.937443;10.581211;14.083445
2.400000;17.813868;17.597416;13.014890;17.814273
2.500000;22.759240;22.436705;16.138464;22.759895
2.600000;29.369711;28.887258;20.173080;29.370771
2.700000;38.281054;37.556324;25.418080;38.282773
2.800000;50.397653;49.303942;32.280962;50.400445
2.900000;67.016052;65.357306;41.319631;67.020598
3.000000;90.009709;87.480754;53.302325;90.017131
